feature,importance
Weight,0.35371589220142363
Height,0.10342469941307587
Age,0.09624303436405346
FCVC,0.0818400269720031
Gender,0.05861549886288153
NCP,0.04862505561062271
TUE,0.0430792762011541
CH2O,0.0416573267066563
FAF,0.04044839483613868
CALC,0.030987002751361355
family_history,0.029817603339544623
CAEC,0.029431823579176095
MTRANS,0.01950157056544527
FAVC,0.016085095669388795
SCC,0.00472503084599926
SMOKE,0.0018026680810752798
